1;None;RT @metrodesantiago Metro abre sus puertas a partir de las 9:00 de hoy en 4 de sus 5 lineas. Más info en http://bit.ly/d06odN
2;Comunicación;@ayudachile Por favor necesito info de Purén!! busco Andrea y Nicolás Alarcon
3;Comunicación;TELEFONOS DE EMERGENCIA EN CHILE SE PIDEN QUE SE RETUITEEN 568 1290/ 568 1295 #terremotochile
4;None;Realmente ineficiente el actuar del Gobierno y ONEMI: No anunciaron los Tsunamis y recién viajan los rescatistas. Horrible! #terremotochile
5;None;Aitkiar está malito y yo me pongo de los nervios por eso. ¡¡Qué mal llevo que sean otros los enfermos!!
6;Comunicación;@tvn_monicar mi familia esta aislada y no tenemos comunicacion con ellos. Estan en BATUCO, a 30km de TALCA hacia la costa
7;None;http://bit.ly/bh8MiW Otra d Rev Pat Robertson: Divinid aún + enoj c/chilen@s q c/Haití, x persecus vs 'gran hombre/héroe personal' Pinochet
8;Comunicación;AVISO!!PORFAVOR RT! Pueblo de Villa alegre en Talca, sin ninguna ayuda!!Estan sin casa, agua,ni electricidad! #terremotochile @tele13online
9;None;Había logrado dormir y descansar un poco hasta que una maldita replica me despertó!
10;None;6,2 grados richter la úñltima réplica fueron 3 en realidad
11;None;Basta de Cháchara ONEMI necesitamos acción ahora, destinemos recursos humano y economicos ahora #terremotochile
12;None;Movistar Venezuela con 50% de descuento en llamadas a Chile
13;Comunicación;@TVN24H porfavor den infmración de San Javier
14;Personas;necesito saber de la ciiudad, mi mejor amiga vive allí, Su nombre es Maria teresa Nuñez
15;Personas;RT @angelicabulnes: Se busca a Florencia Aninat, 28, pelo rubio largo, deberia estar en zona Cañete.#floraninat francisco_aninat@hotmail.com
16;None;@JesDaniel Prii hubo un sismo en valenciaaa!!
17;None;@TVN24H #terremotochile Barcos en las calles de Talcahuano pesan como mínimo 80 toneladas, imaginen la fuerza de las olas
18;None;Más de 90 réplicas desde el #terremotochile. Nueve al menos entre 6 y 7 grados
19;None;@alejandropenia eres chiva o rayado?? Te subes al carrito de la fiesta tu y tenolvidas de la peda del nirvana hhahahhaahha!!!
20;Comunicación;Toy bien, mi familia igual, curico ta destrozado #fb
21;None;LISTA DE DESAPARECIDOS! FAVOR DIFUNDIR http://www.tconnections.net/chile/ YA VAN APARECIENDO AYUDEN AYUDEN RETWITTEAR #terremotochile
