89;Agua;En talca siguen sin luz, agua... Celulares sin baterias.... A mi familia decirles que los amo, tratare de ir sea como sea
194;Agua;en Talcahuano no tienen agua, comida ni ayuda. En concepcion estan saqueando el lider, carabineros con gases lacrimogenos tarat de controlar
196;Agua;la gente se empieza a deseperar en talca ,no tienen servicio de agua ni electr,las conex telefonicas ,no son optimas !la zona esta debastada
236;Agua;RT @carolafuentes: en Talcahuano no tienen agua, comida ni ayuda. En concepcion estan saqueando el lider, carabineros con gases lacrimogenos
283;Agua;falta de agua en concepcion y talcahuano tiene a la gente desesperada
320;Agua;Filete!!! todos los supermercados cerrados!!! los dias domingo!!! FILETEEEEEEEE
435;Agua;@SoledadOnetto que sabes del agua en la IX region??  en temuco??? en la madrugada tuvimos luz pero falta agua..urgente
439;Agua;saqueos en chile es generalizado!
449;Agua;No hay agua,luz ni comida!!!en algunos lugares de concepción
461;Agua;Q horrible las imagenes de conce en #tvn Terrible los saqueos!!
464;Agua;Aún esperando que se reanude los servicios básicos , LUZ, AGUA!!!y y telefono... que todo se normalize ojalaa #terremotochile
601;Agua;En Chile con terremoto hay luz y agua. Aqui sin terremoto no hay nada. Por que sera?
706;Agua;parece q el municipio de conce colapsó, eso explica q la gente esté tan desesperada, xq no distribuyen agua. albergue y comida?
747;Agua;"Dicen ""Bomberos necesita agua, y carabineros la gasta mojando a la gente"" #terremotochile"
760;Agua;En Conce no hay agua y la ocupan en el guanaco ¬¬ #terremotoChile #Chile
1125;Agua;en temuco necesitamos agua
1165;Agua;quE CRESTA PASA CON LA AYUDA DE AGUA Y ALIMENTOS #terremotochile
1301;Agua;@stachica estoy en santiago, en la comuna de ñuñoa ahora. se cortó el agua.
1330;Agua;@tvn_mauricio mi familia de conce dice que el estado no les brinda ayuda, no tienen agua ni alimento
1421;Agua;@jumastorga x fin internet desde el movil, ciudad satelite maipu, sin luz ni agua desde el terremoto casi 30 hrs
1436;Agua;@labeasanchez x fin internet desde el movil, ciudad satelite maipu, sin luz ni agua desde el terremoto casi 30 hrs
1441;Agua;@tvn_monicar x fin internet desde el movil, ciudad satelite maipu, sin luz ni agua desde el terremoto casi 30 hrs
1473;Agua;Hablé con temuco hace un momento, no hay agua, luz en algunos sectores, normalidad (#moteconhuesillo live at http://ustre.am/cUg7)
