1;Alimento;RT @metrodesantiago Metro abre sus puertas a partir de las 9:00 de hoy en 4 de sus 5 lineas. Más info en http://bit.ly/d06odN
2;Alimento;@ayudachile Por favor necesito info de Purén!! busco Andrea y Nicolás Alarcon
3;Alimento;TELEFONOS DE EMERGENCIA EN CHILE SE PIDEN QUE SE RETUITEEN 568 1290/ 568 1295 #terremotochile
4;Alimento;Realmente ineficiente el actuar del Gobierno y ONEMI: No anunciaron los Tsunamis y recién viajan los rescatistas. Horrible! #terremotochile
5;Alimento;Aitkiar está malito y yo me pongo de los nervios por eso. ¡¡Qué mal llevo que sean otros los enfermos!!
6;Alimento;@tvn_monicar mi familia esta aislada y no tenemos comunicacion con ellos. Estan en BATUCO, a 30km de TALCA hacia la costa
7;Alimento;http://bit.ly/bh8MiW Otra d Rev Pat Robertson: Divinid aún + enoj c/chilen@s q c/Haití, x persecus vs 'gran hombre/héroe personal' Pinochet
8;Alimento;AVISO!!PORFAVOR RT! Pueblo de Villa alegre en Talca, sin ninguna ayuda!!Estan sin casa, agua,ni electricidad! #terremotochile @tele13online
9;Alimento;Había logrado dormir y descansar un poco hasta que una maldita replica me despertó!
10;Alimento;6,2 grados richter la úñltima réplica fueron 3 en realidad
11;Alimento;Basta de Cháchara ONEMI necesitamos acción ahora, destinemos recursos humano y economicos ahora #terremotochile
12;Alimento;Movistar Venezuela con 50% de descuento en llamadas a Chile
13;Alimento;@TVN24H porfavor den infmración de San Javier
14;Alimento;necesito saber de la ciiudad, mi mejor amiga vive allí, Su nombre es Maria teresa Nuñez
15;Alimento;RT @angelicabulnes: Se busca a Florencia Aninat, 28, pelo rubio largo, deberia estar en zona Cañete.#floraninat francisco_aninat@hotmail.com
16;Alimento;@JesDaniel Prii hubo un sismo en valenciaaa!!
17;Alimento;@TVN24H #terremotochile Barcos en las calles de Talcahuano pesan como mínimo 80 toneladas, imaginen la fuerza de las olas
18;Alimento;Más de 90 réplicas desde el #terremotochile. Nueve al menos entre 6 y 7 grados
19;Alimento;@alejandropenia eres chiva o rayado?? Te subes al carrito de la fiesta tu y tenolvidas de la peda del nirvana hhahahhaahha!!!
20;Alimento;Toy bien, mi familia igual, curico ta destrozado #fb
21;Alimento;LISTA DE DESAPARECIDOS! FAVOR DIFUNDIR http://www.tconnections.net/chile/ YA VAN APARECIENDO AYUDEN AYUDEN RETWITTEAR #terremotochile
22;Alimento;El número de muertos por el fuerte terremoto en Chile supera ya los 300 - http://bit.ly/9oilo0
23;Alimento;( #Chile - Chile ) 28/02/10 Réplica a las 08:25 am, con una magnitud de 6,1 Richter y epicentro región del Maule (Fuente:USGS)
24;Alimento;RT @Diario27 RT @Janopus: RT @Malbada: @Janopus #terremotochile quién va a hacer eso!!!
25;Alimento;RT @conystipicic RT @jarcam2000: @conystipicic necesito saber de gente en parral la familia campos sepulveda calle dieciocho1046 parral
26;Alimento;chile estoy destrozado con la noticia saben QUE LOS AMO  CON TODO EL CORAZON chicos vamos a mandarle mucha energía a los hermanos chilenos
27;Alimento;si estás en Talca o alrededores, sintoniza 97.5 FM http://tinyurl.com/yldw5do es la única radio activa contactando familias #terremotochile
28;Alimento;muchas replicas http://bit.ly/2ywev5
29;Alimento;Se elevan a 300 las víctimas del terremoto en Chile, Dios mío por favor no mas.
30;Alimento;LISTA DE DESAPARECIDOS! FAVOR DIFUNDIR http://www.tconnections.net/chile/ #terremotochile
31;Alimento;Buscador de personas en chile #terremoto en chile  losmashablados8.blogspot.com/
32;Alimento;El Tsunami fue 20 minutos despues del terremoto, a las 4.0 am y nadie en el gobierno se enteró a tiempo, a las 5 am decian q no iba a haber
33;Alimento;OMG.. Recien dijeron que las replicas podrian seguir por MESES y no solo el chile, en todo el mundo :S
34;Alimento;Despertando con la replica...k rico despertar asi jajaja
35;Alimento;En Stgo supermercados llenos antes de su apertura, santa isabel de portugall con diagonal paraguay #terremotochile #24h #noticias
36;Alimento;@albertpelias tu, eres madrileño de nacimiento n?
37;Alimento;@tvn_mauricio  Favor dar infomacion de cañete, y sectores aledaños, no restringan la cobertura en conce.
38;Alimento;101 Replicas despues del Temblor =O
39;Alimento;RT @andi_katrina: ni radio ni tv han hablado de tomé ni pueblos aledaños al rio itata, aldea vieja o ñipas. ayuda! #terremotochile #chile
